venue,innings,batting_team,bowling_team,batsmen,bowlers
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"Sanju Samson, Ayush Mhatre, Ruturaj Gaikwad, Shivam Dube, Dewald Brevis, Kartik Sharma,MS Dhoni","Hardik Pandya, Jasprit Bumrah, Trent Boult, Mayank Markande, Mohammad Izhar"
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"Quinton de Kock, Rohit Sharma, Suryakumar Yadav, Tilak Varma, Robin Minz","Nathan Ellis, Matt Henry, Noor Ahmad, Khaleel Ahmed"
